馃嚚馃嚦鈥㈡璧�,#genre#
鏈夌嚎鏂伴椈,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
鏈夌嚎鏂伴椈,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u8
鏃犵嚎鏂伴椈鍙� FHD,http://radius.8866.org:800/hls/82/index.m3u8
TVB鏃犵嚎鏂伴椈,http://203.218.232.199:9981/stream/channelid/168959014?ticket=5be55c3a11b7c78b72e1ac8a6c4cd81d40464ab5&profile=pass
缈＄繝鍙� FHD,http://radius.8866.org:800/hls/80/index.m3u8
TVB缈＄繝,http://23.237.10.66:16106
TVB缈＄繝,http://1b6467f415.iok.la:113/tsfile/live/1053_1.m3u8
TVB缈＄繝,http://113.64.147.170:808/hls/67/index.m3u8
TVB缈＄繝,http://jyjxy.7766.org:808/hls/36/index.m3u8
TVB缈＄繝鍗庝附,http://23.237.10.66:16410
TVB J2,https://cdn.hklive.tv/xxxx/82/index.m3u8
ViuTV FHD,http://radius.8866.org:800/hls/86/index.m3u8
澶╂槧棰戦亾,http://51.79.82.208:16024
RTHK 31 FHD,http://radius.8866.org:800/hls/89/index.m3u8
RTHK 32 FHD,http://radius.8866.org:800/hls/90/index.m3u8
RTHK 33 FHD,http://radius.8866.org:800/hls/91/index.m3u8
闈㈠寘鍙�,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
鏃犵嚎璐㈢粡璧勮鍙� FHD,http://radius.8866.org:800/hls/83/index.m3u8
TVB鏃犵嚎璐㈢粡,http://120.84.96.62:808/hls/86/index.m3u8
TVB鏃犵嚎璐㈢粡,http://120.84.96.55:808/hls/86/index.m3u8
鏄庣彔鍙� FHD,http://radius.8866.org:800/hls/84/index.m3u8
ViuTV Six FHD,http://radius.8866.org:800/hls/85/index.m3u8
涓ぉ鏂伴椈鍙�,https://pull-l3-cny.douyincdn.com/live/bf226092f49329a2502bc2619db1d737.flv
TVBS鏂伴椈,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
鍙拌鏂伴椈,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
姘戣鏂伴椈,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
涓ぉ缁煎悎,http://23.237.10.66:16372
涓滄．鏂伴椈缇庢床,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
鍑ゅ嚢涓枃,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
鍑ゅ嚢涓枃,http://jyjxy.7766.org:808/hls/32/index.m3u8
鍑ゅ嚢涓枃,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
鍑ゅ嚢璧勮,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
鍑ゅ嚢璧勮,http://jyjxy.7766.org:808/hls/33/index.m3u8
鍑ゅ嚢璧勮,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
鍑ゅ嚢棣欐腐,http://gxfrg007.8800.org:8282/tsfile/live/1065_1.m3u8
鍑ゅ嚢棣欐腐,http://113.64.147.106:808/hls/38/index.m3u8
鍑ゅ嚢棣欐腐,http://113.64.147.170:808/hls/38/index.m3u8
鍑ゅ嚢鐢靛奖,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
棣欐腐鍗,https://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
棣欐腐鍗,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
TVBRICS,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
HBO,http://vips-livecdn.fptplay.net/hda1/hbo_vhls.smil/chunklist_b5000000.m3u8
HBO2,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
TVB鍔熷か,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
婢充簹鍗,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
婢宠璧勮,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
婢宠璧勮,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8
婢宠缁艰壓,http://103.233.191.133:1935/ch6/hd_ch6.live/playlist.m3u8
婢宠缁艰壓,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8
婢宠缁艰壓,http://103.233.191.132:1935/ch6/hd_ch6.live/playlist.m3u8
婢宠Macau,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8
婢宠Macau,http://103.233.191.132:1935/ch3/ch3.live/playlist.m3u8
婢宠Macau,http://103.233.191.133:1935/ch3/ch3.live/playlist.m3u8
婢宠婢抽杸,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
婢宠婢抽杸,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8
婢抽棬鑾茶姳,http://nettvpro.live/hls/lotustv.php
婢抽棬鑾茶姳,http://anren.live/HK/BiIOU11uLA.m3u8
婢抽棬鑾茶姳,https://p.ggiptv.com/v/macaulotustv.php
婢宠浣撹偛,http://103.233.191.132:1935/ch4/sport_ch4.live/playlist.m3u8
婢宠浣撹偛,http://103.233.191.133:1935/ch4/sport_ch4.live/playlist.m3u8
婢宠浣撹偛,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8
鑰€鎵嶈储缁�,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
鑰€鎵嶈储缁�,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
鍗庤鐢佃1,http://38.64.72.148:80/hls/modn/list/4001/chunklist0.m3u8
鍗庤鐢佃2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
鍗庤鐢佃3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
闀垮煄绮惧搧,http://38.64.72.148:80/hls/modn/list/4008/chunklist0.m3u8
澶х珛闆昏,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
涓夌珛鏂伴椈,http://23.237.10.66:16342
TVBS鏂伴椈,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS鏂伴椈,rtmp://59.124.75.150/sat/tv551
TVBS鏂伴椈,rtmp://59.124.75.138/sat/tv551
TVBS娆箰,rtmp://59.124.75.150/sat/tv421
TVBS娆箰,rtmp://59.124.75.138/sat/tv421
涓ぉ缁煎悎,http://23.237.10.66:16372
鍗鐢靛奖鍙�,http://23.237.10.66:16010
鍘熶綇姘戞棌,http://streamipcf.akamaized.net/live/_definst_/live_720/chunklist_b1500.m3u8
鍏害绌洪棿,http://51.79.82.208:16005
涓滄．鍗,http://38.64.72.148:80/hls/modn/list/2024/chunklist0.m3u8
涓滄．缇庢床,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8
涓滄．璐㈢粡,rtmp://59.124.75.150/sat/tv571
涓滄．璐㈢粡,rtmp://59.124.75.138/sat/tv571
涓滄．瓒呰,rtmp://59.124.75.138:1935/sat/tv331
涓滄．瓒呰,rtmp://59.124.75.150/sat/tv331
涓滄．鐢靛奖,http://120.84.96.55:808/hls/32/index.m3u8
榫欑ゥ鏃朵唬,http://jyjxy.7766.org:808/hls/38/index.m3u8
榫欑ゥ鏃朵唬,http://gxfrg007.8800.org:8282/tsfile/live/1048_1.m3u8
鍗鐢靛奖,http://23.237.10.66:16010
绾潵鑲蹭箰,rtmp://59.124.75.150/sat/tv701
绾潵鑲蹭箰,rtmp://59.124.75.138/sat/tv701
绾潵浣撹偛,rtmp://59.124.75.150/sat/tv721
绾潵浣撹偛,rtmp://59.124.75.138/sat/tv721
澶х埍,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
澶х埍,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
濂芥秷鎭�1,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8
濂芥秷鎭�2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8
涓,rtmp://59.124.75.138/sat/tv091
涓,rtmp://59.124.75.150/sat/tv091
鍗庤,rtmp://59.124.75.138:1935/sat/tv111
鍗庤,rtmp://59.124.75.150/sat/tv111
鍙拌,http://23.237.10.66:16344
鍙拌,rtmp://59.124.75.150/sat/tv071
鍙拌,rtmp://59.124.75.138/sat/tv071
姘戣,http://23.237.10.66:16334
姘戣,rtmp://59.124.75.150/sat/tv051
姘戣,rtmp://59.124.75.138/sat/tv051
鍙拌鏂伴椈,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
姘戣鏂伴椈,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
TVB鏃犵嚎鏂伴椈,http://23.237.10.66:16110$楂樻竻1080P
TVB鏃犵嚎鏂伴椈,http://111.229.84.232/yulin/tvb.php?id=1$楂樻竻1080P
TVB缈＄繝,http://23.237.10.66:16106$楂樻竻1080P
TVB缈＄繝,http://1b6467f415.iok.la:113/tsfile/live/1053_1.m3u8$楂樻竻1080P
TVB缈＄繝,http://113.64.147.30:808/hls/67/index.m3u8$楂樻竻1080P
TVB缈＄繝鍗庝附,http://23.237.10.66:16410$楂樻竻1080P
TVB J2,https://cdn.hklive.tv/xxxx/82/index.m3u8
TVB鏄熸渤,http://27.47.68.21:808/hls/35/index.m3u8$楂樻竻10800P
TVB鏄熸渤,http://27.47.68.19:808/hls/35/index.m3u8$楂樻竻720P
TVB鍔熷か,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8$楂樻竻720P
闈㈠寘鍙�,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8$楂樻竻1080P
涓ぉ鏂伴椈,http://60.251.39.247:8504/http/192.168.77.2481/hls/78/80/ch63max.m3u8
涓ぉ鏂伴椈,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=29
缈＄繝鍙�,http://xjayrf.tv888.top:9901/tsfile/live/1004_1.m3u8
鏃犵嚎鏂伴椈鍙�,http://98.142.138.122:1632/zhiboyuandakaTV/ViuTv21367.m3u8
鏃犵嚎鏂伴椈鍙�,http://jeffrey.qwl1965.top/tbs.php?tid=gt&id=7
TVB J2,http://120.84.96.69:808/hls/86/index.m3u8
鍑ゅ嚢棣欐腐,http://27.47.70.113:808/hls/34/index.m3u8
鍑ゅ嚢棣欐腐,http://gxfrg007.8800.org:8282/tsfile/live/1065_1.m3u8
鍑ゅ嚢涓枃,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.js.chinamobile.com/PLTV/3/224/3221228527/index.m3u8
鍑ゅ嚢璧勮,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.js.chinamobile.com/PLTV/3/224/3221228524/index.m3u8
鍑ゅ嚢鍗,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8$楂樻竻1080P
鍑ゅ嚢鍗,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8$楂樻竻720P
鍑ゅ嚢璧勮,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8$楂樻竻1080P
鍑ゅ嚢璧勮,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8$楂樻竻720P
鍑ゅ嚢棣欐腐,http://gxfrg007.8800.org:8282/tsfile/live/1065_1.m3u8$楂樻竻1080P
鍑ゅ嚢棣欐腐,http://113.64.147.30:808/hls/38/index.m3u8$楂樻竻1080P
鍑ゅ嚢棣欐腐,http://113.64.147.20:808/hls/38/index.m3u8$楂樻竻1080P
鍑ゅ嚢鐢靛奖,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8$楂樻竻720P
棣欐腐鍗,https://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8$楂樻竻720P
棣欐腐鍗,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv$楂樻竻720P
闃冲厜鍗,https://stream.chinasuntv.com/680k/mid_video_index.m3u8$鏍囨竻576P
鏃惰imodeTV,http://juyunlive.juyun.tv/live/24950198.m3u8$楂樻竻1080P
TVBRICS,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8$楂樻竻1080P
HBO,http://vips-livecdn.fptplay.net/hda1/hbo_vhls.smil/chunklist_b5000000.m3u8$楂樻竻1080P
HBO2,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8$楂樻竻1080P
TVB鏃犵嚎璐㈢粡,http://111.229.84.232/yulin/tvb.php?id=2$楂樻竻720P
TVB鏃犵嚎璐㈢粡,http://120.84.96.63:808/hls/86/index.m3u8$楂樻竻720P
TVB鏃犵嚎璐㈢粡,http://120.84.96.53:808/hls/86/index.m3u8$楂樻竻720P
ViuTV,https://cdn.hklive.tv/xxxx/99/index.m3u8$楂樻竻720P
ViuTV6,https://cdn.hklive.tv/xxxx/96/index.m3u8$楂樻竻720P
ViuTV6,https://pull-l3-cny.douyincdn.com:443/live/e7af863905ba1411658aafc3374dd4ba.flv
TVB鏄庣彔鍙�,https://cdn.hklive.tv/xxxx/84/index.m3u8$楂樻竻720P
TVB鏄庣彔鍙�,https://cdn.hklive.tv/xxxx/84b/index.m3u8$楂樻竻720P
RTHK31,https://cdn.hklive.tv/xxxx/31/index.m3u8
RTHK32,https://cdn.hklive.tv/xxxx/32/index.m3u8
RTHK33,https://cdn.hklive.tv/xxxx/33/index.m3u8
RTHK34,https://cdn.hklive.tv/xxxx/34/index.m3u8
澶╂槧缁忓吀,http://120.84.96.47:808/hls/85/index.m3u8$楂樻竻1080P
澶╂槧缁忓吀,http://120.84.96.63:808/hls/85/index.m3u8$楂樻竻1080P
婢充簹鍗,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8$鏍囨竻576P
婢宠璧勮,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8$楂樻竻720P
婢宠璧勮,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8$楂樻竻720P
婢宠缁艰壓,http://103.233.191.133:1935/ch6/hd_ch6.live/playlist.m3u8$楂樻竻720P
婢宠缁艰壓,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8$楂樻竻720P
婢宠缁艰壓,http://103.233.191.132:1935/ch6/hd_ch6.live/playlist.m3u8$楂樻竻720P
婢宠Macau,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8$楂樻竻720P
婢宠Macau,http://103.233.191.132:1935/ch3/ch3.live/playlist.m3u8$楂樻竻720P
婢宠Macau,http://103.233.191.133:1935/ch3/ch3.live/playlist.m3u8$楂樻竻720P
婢宠婢抽杸,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8$楂樻竻720P
婢宠婢抽杸,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8$楂樻竻720P
婢抽棬鑾茶姳,http://nettvpro.live/hls/lotustv.php$楂樻竻1080P
婢抽棬鑾茶姳,http://anren.live/HK/BiIOU11uLA.m3u8$楂樻竻1080P
婢抽棬鑾茶姳,https://p.ggiptv.com/v/macaulotustv.php$楂樻竻720P
婢宠浣撹偛,http://103.233.191.132:1935/ch4/sport_ch4.live/playlist.m3u8$楂樻竻720P
婢宠浣撹偛,http://103.233.191.133:1935/ch4/sport_ch4.live/playlist.m3u8$楂樻竻720P
婢宠浣撹偛,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8$楂樻竻720P
涓夌珛鏂伴椈,http://23.237.10.66:16342
TVBS鏂伴椈,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS鏂伴椈,rtmp://59.124.75.150/sat/tv551$楂樻竻720P
TVBS鏂伴椈,rtmp://59.124.75.138/sat/tv551$楂樻竻720P
TVBS娆箰,rtmp://59.124.75.150/sat/tv421$楂樻竻720P
TVBS娆箰,rtmp://59.124.75.138/sat/tv421$楂樻竻720P
涓滄．鍗,http://38.64.72.148:80/hls/modn/list/2024/chunklist0.m3u8$楂樻竻1080P
涓滄．缇庢床,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8$楂樻竻1080P
涓滄．璐㈢粡,http://38.64.72.148:80/hls/modn/list/2021/chunklist0.m3u8$楂樻竻720P
涓滄．璐㈢粡,rtmp://59.124.75.150/sat/tv571$楂樻竻720P
涓滄．璐㈢粡,rtmp://59.124.75.138/sat/tv571$楂樻竻720P
涓滄．瓒呰,rtmp://59.124.75.138:1935/sat/tv331$楂樻竻720P
涓滄．瓒呰,rtmp://59.124.75.150/sat/tv331$楂樻竻720P
涓滄．鐢靛奖,http://120.84.96.47:808/hls/32/index.m3u8$楂樻竻1080P
涓ぉ鏂伴椈,https://pull-f5-spe.ixigua.com/live/rtmvpkgtvvzggyiuuikfvbscvgjktwgfsggsgqrcvuyremgeztxw/index.m3u8$楂樻竻1080P
榫欑ゥ鏃朵唬,http://gxfrg007.8800.org:8282/tsfile/live/1048_1.m3u8$楂樻竻720P
鍗鐢靛奖,http://23.237.10.66:16010$楂樻竻720P
绾潵鑲蹭箰,rtmp://59.124.75.150/sat/tv701$楂樻竻720P
绾潵鑲蹭箰,rtmp://59.124.75.138/sat/tv701$楂樻竻720P
绾潵浣撹偛,rtmp://59.124.75.150/sat/tv721$楂樻竻720P
绾潵浣撹偛,rtmp://59.124.75.138/sat/tv721$楂樻竻720P
澶х埍,https://pulltv1.wanfudaluye.com/live/tv1.m3u8$楂樻竻720P
澶х埍,https://pulltv2.wanfudaluye.com/live/tv2.m3u8$楂樻竻720P
濂芥秷鎭�1,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch1-1.m3u8$楂樻竻720P
濂芥秷鎭�2,http://live-350k.streamingfast.net/hls-live/goodtv/_definst_/liveevent/live-ch2-1.m3u8$楂樻竻720P
涓,rtmp://59.124.75.138/sat/tv091$楂樻竻720P
涓,rtmp://59.124.75.150/sat/tv091$楂樻竻720P
鍗庤,rtmp://59.124.75.138:1935/sat/tv111$楂樻竻720P
鍗庤,rtmp://59.124.75.150/sat/tv111$楂樻竻720P
鍙拌,rtmp://59.124.75.150/sat/tv071$楂樻竻720P
鍙拌,rtmp://59.124.75.138/sat/tv071$楂樻竻720P
姘戣,rtmp://59.124.75.150/sat/tv051$楂樻竻720P
姘戣,rtmp://59.124.75.138/sat/tv051$楂樻竻720P
鍙拌鏂伴椈,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8$楂樻竻1080P
姘戣鏂伴椈,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8$楂樻竻1080P
缈＄繝鍙� FHD,http://radius.8866.org:800/hls/80/index.m3u8
鏄庣彔鍙� FHD,http://radius.8866.org:800/hls/84/index.m3u8
鏃犵嚎鏂伴椈鍙� FHD,http://radius.8866.org:800/hls/82/index.m3u8
鏃犵嚎璐㈢粡璧勮鍙� FHD,http://radius.8866.org:800/hls/83/index.m3u8
ViuTV Six FHD,http://radius.8866.org:800/hls/85/index.m3u8
ViuTV FHD,http://radius.8866.org:800/hls/86/index.m3u8
RTHK 31 FHD,http://radius.8866.org:800/hls/89/index.m3u8
RTHK 32 FHD,http://radius.8866.org:800/hls/90/index.m3u8
RTHK 33 FHD,http://radius.8866.org:800/hls/91/index.m3u8
鏈夌嚎鏂伴椈,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
涓ぉ鏂伴椈,http://198.16.64.10:8278/ctinews/playlist.m3u8?tid=MA4A6611409066114090&ct=19226&tsum=f0333c4e69a7c5880f766ec9f29ca203
鍑ゅ嚢璧勮,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8?
鍑ゅ嚢璧勮,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8
鍑ゅ嚢璧勮,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
鍑ゅ嚢涓枃,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8
鍑ゅ嚢鐢靛奖,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
缈＄繝鍙�,http://23.237.10.66:16106
缈＄繝鍙�,http://50.7.168.234:8278/jade_twn/playlist.m3u8?tid=m51e8c5582227&ct=18336&tsum=d0987332bec9b0fecc98b9b9ff3ddeac
缈＄繝鍗庝附,http://23.237.10.66:16410
缁忓吀鍔熷か鍙�,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
鏃犵嚎鏂伴椈,http://23.237.10.66:16110
鏃犵嚎鏂伴椈鍙�,http://198.16.64.10:8278/inews_twn/playlist.m3u8?tid=m2206a7a6925a&ct=18336&tsum=47d564f6425ee7ceb9ff1ed026f89669
鏃犵嚎鏂伴椈,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/playlist.m3u8
鏃犵嚎鏂伴椈,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/95ea73e414b14b7ea6406050a5293f17/playlist_ssaiM.m3u8
鏃犵嚎璐㈢粡,http://198.16.64.10:8278/j5_twn/playlist.m3u8?tid=m3b7232941813&ct=18336&tsum=2652e4efd153feaf5e425047082469ea
j2,http://198.16.64.10:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e
HTV4,https://livecdn.fptplay.net/sdb/htv4_hls.smil/chunklist_b2500000.m3u8
婢抽棬Macau,http://61.244.22.4/ch3/ch3.live/chunklist_w1228316132.m3u8
婢抽棬Macau,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
婢抽棬Macau,http://61.244.22.4/ch2/ch2.live/playelist.m3u8
婢抽棬Macau,http://61.244.22.4/ch3/ch3.live/index.m3u8
婢抽棬Macau,http://103.233.191.133:1935/ch3/ch3.live/playlist.m3u8
婢抽棬Macau,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8
婢宠婢抽棬,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8
婢宠婢抽棬,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8
婢宠婢抽棬,http://61.244.22.5/ch1/ch1.live/playelist.m3u8
婢宠钁℃枃,http://103.233.191.132:1935/ch2/ch2.live/playlist.m3u8
婢宠钁℃枃,http://103.233.191.133:1935/ch2/ch2.live/playlist.m3u8
婢宠钁℃枃,http://103.233.191.134:1935/ch2/ch2.live/playlist.m3u8
婢宠钁℃枃,http://61.244.22.4/ch2/ch2.live/chunklist_w1632175875.m3u8
婢抽棬璧勮,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8
婢抽棬璧勮,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8
婢抽棬璧勮,http://61.244.22.4/ch5/info_ch5.live/chunklist_w1046558591.m3u8
婢抽棬缁艰壓,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8
